Topic 1: ryan, war, hanks, private, spielberg, babe, chicken, saving, pig, red. 
Topic 2: alien, aliens, planet, truman, ship, space, mars, earth, science, effects. 
Topic 3: titanic, shakespeare, ship, sandler, wedding, love, cameron, angels, rose, singer. 
Topic 4: dvd, grace, rocky, finn, rock, songs, disc, horse, paulie, hedwig. 
Topic 5: comedy, smith, funny, ben, bob, jay, school, sex, west, football. 
Topic 6: murphy, comedy, eddie, roberts, kate, romantic, cole, julia, willis, cusack. 
Topic 7: war, joe, men, army, american, general, political, washington, soldiers, battle. 
Topic 8: girls, flynt, evil, spice, austin, patch, powers, dr, jackal, frank. 
Topic 9: star, wars, lucas, phantom, jedi, menace, effects, nbsp, contact, series. 
Topic 10: nights, van, black, boogie, derek, anderson, 54, fugitive, ford, jones. 
Topic 11: vampire, horror, burton, blade, vampires, house, carpenter, blair, scary, witch. 
Topic 12: jackie, chan, action, kong, hong, van, damme, bond, martial, chinese. 
Topic 13: tarantino, harry, crime, jackie, simon, cop, pulp, fiction, brown, jackson. 
Topic 14: batman, arnold, cage, robin, max, seagal, snake, schumacher, wrestling, impact. 
Topic 15: film, movie, one, like, even, good, would, time, get, much. 
Topic 16: godzilla, troopers, starship, verhoeven, bulworth, broderick, wild, besson, bacon, robocop. 
Topic 17: disney, family, animated, animation, mulan, children, toy, voice, kids, king. 
Topic 18: scream, horror, killer, trek, 2, urban, julie, slasher, williamson, summer. 
Topic 19: film, one, story, life, like, character, movie, characters, man, also. 
Topic 20: tarzan, spawn, black, jane, cauldron, prinze, carry, jawbreaker, gladiator, liz. 
