Topic 1: show, truman, jones, dr, evil, mike, powers, carrey, world, spawn, austin, island, martin, jim, tommy, ford, shrek, lee, friend, fugitive. 
Topic 2: music, rock, mars, tim, mission, band, burton, apes, flynt, planet, musical, sequence, larry, snake, human, hollow, songs, brian, song, wife. 
Topic 3: series, mr, television, show, nights, anderson, william, less, upon, x-files, boogie, tv, summer, roberts, nbsp, ms, fans, consider, may, screen. 
Topic 4: school, high, kids, teacher, boy, student, american, girl, paul, 10, jim, parents, football, around, team, girlfriend, pie, boys, cole, teenage. 
Topic 5: new, deep, york, days, godzilla, action, impact, effects, park, summer, special, arnold, disaster, stop, armageddon, monster, world, schwarzenegger, team, end. 
Topic 6: city, harry, dark, max, sam, annie, babe, horse, hope, new, playing, grace, ellie, giant, contact, foster, right, pig, question, noir. 
Topic 7: wife, oscar, prison, god, three, carter, case, kevin, lawyer, court, de, performance, scorsese, courtroom, tony, la, begins, message, rules, brilliant. 
Topic 8: robin, batman, george, chris, cage, angels, look, williams, fails, city, series, angel, joel, human, schumacher, mr, heaven, anne, o'donnell, attempts. 
Topic 9: joe, black, white, dog, henry, bill, death, american, new, derek, bulworth, political, party, ghost, york, shot, camera, young, image, hopkins. 
Topic 10: movie, one, film, like, even, good, get, really, would, time, bad, see, know, people, much, make, movies, could, way, well. 
Topic 11: comedy, funny, humor, jokes, comic, laughs, hilarious, laugh, bob, ben, girls, brothers, smith, work, gags, joke, cast, mary, jay, amusing. 
Topic 12: thriller, murder, killer, police, david, mystery, plot, case, suspense, detective, wife, daughter, dead, turns, man, crime, twist, james, lynch, seven. 
Topic 13: life, love, family, mother, father, woman, man, beautiful, lives, husband, young, relationship, daughter, son, wife, home, married, children, two, like. 
Topic 14: special, effects, star, original, wars, house, new, menace, version, lucas, 1, film, blair, witch, video, young, phantom, story, release, jedi. 
Topic 15: action, fight, films, jackie, scenes, van, chan, sequences, cop, master, chinese, lee, kong, hong, woo, hero, arts, plot, damme, martial. 
Topic 16: nick, williams, sean, carry, joan, british, hunting, scale, ben, damon, 0, charles, besson, follows, james, affleck, warrior, bridge, games, sir. 
Topic 17: ryan, love, tom, story, titanic, ship, jack, private, red, cameron, shakespeare, movie, hanks, certainly, queen, elizabeth, saving, romantic, ever, thin. 
Topic 18: horror, scream, 2, last, summer, sequel, first, still, killer, 3, julie, characters, know, original, death, friends, genre, teen, movies, slasher. 
Topic 19: king, bond, black, james, vampire, gibson, comic, blade, mel, vampires, blood, run, anna, crow, whose, chicken, book, based, evil, dark. 
Topic 20: movie, role, director, also, cast, script, character, little, performance, actor, well, plot, plays, played, picture, known, stars, career, written, good. 
Topic 21: stone, drug, jerry, room, patch, trying, claire, go, girls, scene, alice, gone, adams, might, point, wall, music, parker, medical, squad. 
Topic 22: robert, smith, tarantino, wild, pulp, jackie, crime, west, brown, fiction, jack, jackson, money, boss, de, agent, cash, another, gangster, two. 
Topic 23: game, world, reality, vegas, computer, matrix, reeves, jimmy, fans, play, king, baseball, real, las, bobby, dream, keanu, wrestling, two, john. 
Topic 24: town, small, son, frank, meet, water, quaid, lawrence, kelly, dennis, charlie, costner, local, sheriff, better, soon, october, message, hope, howard. 
Topic 25: disney, story, voice, family, children, kids, animated, murphy, allen, animation, little, new, tarzan, woody, toy, home, mulan, original, life, lost. 
Topic 26: alien, star, aliens, effects, earth, space, science, ship, trek, crew, special, series, fiction, first, planet, action, human, sci-fi, species, james. 
Topic 27: film, one, character, story, characters, also, like, much, time, films, even, would, two, however, many, best, life, work, great, way. 
Topic 28: sex, wedding, things, wild, julia, sam, violence, troopers, sexual, singer, starship, sandler, r, bacon, verhoeven, gay, nudity, todd, director, johnny. 
Topic 29: war, men, american, movie, battle, world, america, spielberg, leader, country, almost, army, movies, place, political, power, president, soldiers, history, group. 
Topic 30: big, john, simon, willis, michael, jeff, bruce, l, zero, peter, dude, money, richard, lebowski, novel, goodman, walter, goes, russell, named. 
